scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.07938,60.5745,123.0502,58.7117,51.288765,0.886652,32.51056,13.306970000000002,2.851532,1.733051,3,2,2,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.35771,56.7843,118.9925,48.14230000000001,45.466555,0.900075,27.7552,12.91373,2.5369,1.36065,3,2,3,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.03517,60.6375,123.5219,58.9117,51.22825900000001,0.8908659999999999,32.38327,13.35457,2.863502,1.7360509999999998,3,2,3,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.4126,56.916,120.214,48.2952,45.915954,0.8886870000000001,28.1695,12.93861,2.5538800000000004,1.365277,3,2,4,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.068403,60.737,123.8394,58.8298,51.996682,0.8828550000000001,33.28261,13.25602,2.842112,1.7330849999999998,3,2,4,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.3468400000000003,55.909,117.2157,47.3965,45.165971000000006,0.880858,27.6021,12.80934,2.52768,1.345993,3,2,5,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.042152,60.2679,121.9407,58.40770000000001,51.206949,0.8871819999999999,32.44376,13.289420000000002,2.851687,1.7349,3,2,5,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.31003,55.7513,109.1334,45.2609,42.781945,0.871291,26.1031,12.02405,2.45426,1.329244,3,1,1,1,1,2,3,0,5,3,2,3,7
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.045266,60.5655,119.9101,57.8602,51.066717,0.876574,32.730549999999994,12.93124,2.805101,1.723252,3,1,1,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.38581,56.6069,112.3153,46.6341,44.079387,0.8847229999999999,26.915,12.42926,2.5028,1.347604,3,1,2,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.0708710000000004,60.6907,120.4657,58.1609,51.497333,0.880489,33.0118,13.05675,2.819089,1.729205,3,1,2,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.3626500000000004,57.065,114.869,47.481,44.73956100000001,0.8928,27.309800000000006,12.65685,2.51853,1.3615810000000002,3,1,3,1,1,2,3,6,5,3,0,3,7
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.037216,60.7748,121.617,58.6267,51.615278,0.884239,33.01608,13.15033,2.830873,1.733756,3,1,3,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.4102,57.14920000000001,113.0726,46.8284,44.483447000000005,0.8900239999999999,27.2819,12.41266,2.5292000000000003,1.369663,3,1,4,1,1,2,3,6,5,3,0,3,7
ssp_socio3_ag2_gwhi_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.074087,60.8902,120.9951,58.3812,51.70964499999999,0.881685,33.27453,13.00543,2.812898,1.735102,3,1,4,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.33882,55.9716,110.4152,45.922700000000006,43.79305,0.8790479999999999,26.6569,12.39939,2.5071000000000003,1.350612,3,1,5,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.03892,60.2967,118.9948,57.7808,50.893254,0.8848199999999999,32.37809,13.06137,2.8319240000000003,1.73705,3,1,5,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.3514,55.5558,116.6272,46.8164,44.878417999999996,0.8662019999999999,27.6375,12.58145,2.468703,1.324563,1,2,1,1,1,2,3,6,5,3,0,3,7
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.085219,60.4976,122.7071,58.3016,51.590177,0.8786309999999999,33.02686,13.1451,2.818769,1.7208169999999998,1,2,1,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.40708,56.3359,118.0548,47.7181,45.660219,0.880983,28.0901,12.82953,2.51494,1.344666,1,2,2,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.097017,60.5857,122.758,58.54600000000001,51.854436,0.8825209999999999,33.16302,13.24466,2.835796,1.7284389999999998,1,2,2,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.38763,56.8196,118.7203,48.0783,45.699503,0.8994540000000001,28.0417,12.86723,2.53097,1.3601489999999998,1,2,3,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.066159,60.6697,123.1297,58.76770000000001,51.703655999999995,0.8873040000000001,32.92494,13.30876,2.849703,1.732949,1,2,3,2,1,2,3,6,7,3,6,7,7
ssp_socio3_ag2_gwlo_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,3.45636,56.9639,120.0564,48.2068,46.432124,0.883883,28.7385,12.90366,2.5423400000000003,1.363741,1,2,4,1,1,2,3,0,5,3,0,3,7
ssp_socio3_ag2_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,3.119018,60.8775,123.5743,58.7181,52.251087999999996,0.878841,33.57635,13.23405,2.829708,1.732139,1,2,4,2,1,2,3,6,7,3,6,7,7
